customer_id,gender,age,marital_status,dependents,contract_type,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,churn_status,call_duration_minutes,latitude,longitude
3850,Male,42,Married,3,Monthly,"Fiber Optic",No,No,Yes,No,No,Yes,Yes,Yes,41.40,595.21,No,1062,-49.780269,-13.803970
4696,Female,76,Single,1,Yearly,DSL,No,Yes,Yes,No,No,Yes,Yes,No,46.20,940.05,No,901,56.553157,113.992914
5695,Female,39,Married,2,Monthly,"Fiber Optic",Yes,No,Yes,Yes,No,No,Yes,No,43.05,919.62,No,928,80.762088,-27.906437
8712,Female,74,Single,3,Monthly,DSL,No,No,No,Yes,Yes,No,No,Yes,23.01,538.68,Yes,479,87.832819,86.922690
10506,Male,30,Married,3,Yearly,DSL,No,Yes,No,No,Yes,No,No,No,38.19,875.93,No,650,-88.373695,-29.320198
10846,Male,20,Married,2,Monthly,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,9.44,4.48,No,819,-54.267972,159.342125
12253,Female,24,Single,0,Monthly,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,35.63,200.36,No,75,2.978017,-38.257967
13639,Male,19,Single,0,Yearly,DSL,Yes,Yes,No,Yes,No,Yes,No,No,46.88,980.79,No,653,-48.440095,7.414829
14262,Female,32,Single,1,Monthly,DSL,No,Yes,Yes,Yes,No,Yes,No,Yes,56.13,723.39,No,594,32.197749,146.644439
20573,Male,41,Single,1,Yearly,"Fiber Optic",No,No,No,Yes,Yes,No,No,No,98.33,95.05,No,409,-66.727147,44.453225
22220,Male,20,Single,1,Yearly,"Fiber Optic",No,No,Yes,No,Yes,No,No,Yes,96.05,312.09,No,549,-44.147861,143.561535
23832,Female,49,Married,3,Yearly,"Fiber Optic",Yes,Yes,No,No,Yes,Yes,No,Yes,39.56,607.97,No,529,26.472420,148.195260
28080,Male,39,Single,2,Monthly,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,No,No,79.40,468.31,No,471,-74.772073,-91.757406
28995,Female,56,Married,3,Monthly,"Fiber Optic",Yes,No,No,Yes,No,No,No,No,53.67,127.82,Yes,913,39.351544,-68.437460
29351,Female,29,Single,1,Yearly,"Fiber Optic",Yes,No,Yes,No,Yes,Yes,Yes,Yes,9.59,384.90,No,35,-47.141013,-143.546709
33230,Female,59,Married,3,Monthly,"Fiber Optic",Yes,No,No,No,Yes,Yes,Yes,Yes,56.32,873.66,No,927,59.150308,116.662797
38584,Male,56,Married,3,Monthly,"Fiber Optic",No,Yes,No,Yes,No,No,No,Yes,33.50,628.47,Yes,962,17.299200,27.189129
38978,Female,45,Married,0,Yearly,"Fiber Optic",No,No,No,Yes,Yes,Yes,No,No,47.07,714.63,Yes,794,58.796677,-127.039698
39684,Female,63,Single,3,Monthly,"Fiber Optic",Yes,No,Yes,No,No,No,No,Yes,14.23,353.65,No,775,-52.744444,-145.405462
41085,Male,25,Married,3,Yearly,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,No,59.94,291.56,No,508,-65.080177,-28.145718
41246,Male,63,Married,0,Yearly,"Fiber Optic",Yes,No,Yes,Yes,Yes,No,No,No,17.89,852.53,No,85,-57.653922,66.326353
45995,Female,66,Married,0,Monthly,"Fiber Optic",No,Yes,No,No,No,Yes,No,Yes,71.25,783.35,No,655,-19.030361,-60.449572
48786,Female,52,Single,1,Yearly,DSL,No,Yes,Yes,Yes,No,Yes,No,No,81.80,45.09,No,867,-36.382883,-64.137534
48981,Male,46,Married,1,Monthly,"Fiber Optic",No,Yes,No,Yes,Yes,No,Yes,No,90.89,936.94,No,1174,-86.396627,-121.018702
56570,Male,21,Single,2,Yearly,DSL,No,Yes,Yes,Yes,No,No,No,No,64.16,79.48,No,149,-53.207576,53.545206
60890,Male,61,Married,1,Monthly,DSL,No,No,No,No,No,Yes,Yes,No,93.08,133.95,No,1181,-37.857498,-1.586429
65669,Male,27,Single,2,Monthly,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,18.90,360.04,No,103,41.842493,-34.976971
67179,Male,49,Single,0,Monthly,"Fiber Optic",Yes,Yes,Yes,No,No,Yes,Yes,Yes,72.47,77.61,No,1004,7.884960,-105.285130
67869,Male,77,Married,1,Yearly,"Fiber Optic",Yes,Yes,No,No,Yes,No,No,Yes,92.26,90.31,No,178,34.303040,-177.283065
68069,Female,60,Single,3,Yearly,"Fiber Optic",Yes,Yes,Yes,Yes,No,No,Yes,Yes,56.92,824.61,No,725,49.330306,-159.203151
71747,Female,76,Single,3,Monthly,DSL,No,No,Yes,No,Yes,Yes,No,No,18.18,743.63,Yes,760,26.876948,-55.522768
75552,Female,70,Married,3,Yearly,DSL,No,No,No,Yes,Yes,No,Yes,No,64.80,535.98,No,85,-62.986574,12.855576
76479,Male,56,Single,1,Monthly,"Fiber Optic",No,No,No,Yes,No,No,No,Yes,43.48,465.98,Yes,875,12.938042,61.311973
76685,Male,35,Married,3,Yearly,DSL,No,Yes,Yes,No,Yes,No,Yes,No,41.24,218.46,No,743,5.841188,109.382675
77367,Male,59,Single,1,Yearly,"Fiber Optic",No,No,No,Yes,No,Yes,Yes,Yes,62.30,935.95,No,295,53.715109,-88.706833
80727,Female,25,Single,2,Yearly,DSL,Yes,Yes,Yes,No,No,No,No,No,75.74,880.69,Yes,17,32.044679,-55.083675
82875,Female,38,Single,3,Monthly,"Fiber Optic",Yes,No,Yes,Yes,No,No,No,Yes,37.44,676.79,No,327,14.740754,-147.166315
84987,Female,56,Single,1,Yearly,"Fiber Optic",Yes,No,No,No,No,Yes,No,Yes,14.89,669.68,No,599,53.010108,-9.880539
88573,Male,74,Married,0,Yearly,DSL,No,No,Yes,Yes,No,No,No,Yes,42.86,928.55,No,1198,76.022152,41.757710
89306,Female,37,Married,2,Monthly,"Fiber Optic",No,No,Yes,No,No,No,No,No,70.03,808.01,No,326,7.739395,143.482398
90097,Female,60,Single,2,Yearly,DSL,No,No,Yes,Yes,No,No,No,Yes,47.85,169.05,No,650,-3.302338,101.337257
100264,Female,62,Married,0,Monthly,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes,13.28,428.92,No,532,86.525900,25.945704
101164,Female,40,Single,0,Yearly,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,56.54,596.64,No,774,-24.123326,141.693483
102088,Female,38,Single,2,Yearly,DSL,Yes,No,No,No,No,No,Yes,Yes,83.28,301.35,Yes,165,29.650134,147.472840
103136,Female,18,Married,0,Yearly,DSL,Yes,No,No,No,No,No,Yes,Yes,82.28,765.73,No,604,-10.855715,67.025013
105250,Female,61,Single,3,Monthly,"Fiber Optic",No,No,Yes,Yes,Yes,No,No,No,44.62,231.53,No,481,8.485456,11.898478
109814,Female,23,Married,2,Monthly,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,No,No,Yes,41.04,968.14,No,171,69.654949,-177.996557
111234,Female,57,Married,2,Monthly,"Fiber Optic",No,No,Yes,No,No,No,No,Yes,28.93,773.84,Yes,822,-14.149959,-161.374831
111831,Female,28,Married,0,Yearly,"Fiber Optic",No,No,Yes,No,Yes,Yes,No,Yes,80.40,683.66,Yes,1176,68.722012,-11.274154
113866,Female,59,Single,0,Yearly,DSL,Yes,Yes,No,No,No,Yes,No,Yes,89.03,907.77,No,739,-3.950534,14.812847
114454,Female,30,Married,3,Monthly,"Fiber Optic",No,Yes,No,No,Yes,No,No,No,88.26,593.30,No,976,-69.781340,-136.605495
114619,Female,57,Single,1,Monthly,"Fiber Optic",No,No,Yes,Yes,No,No,Yes,Yes,24.86,688.33,No,496,86.914118,61.958430
116390,Female,35,Single,2,Monthly,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,No,Yes,27.66,589.43,Yes,982,43.199296,-91.883632
117551,Female,44,Single,1,Monthly,DSL,Yes,No,Yes,No,No,Yes,No,No,88.63,289.21,No,81,85.799353,65.035209
120009,Female,55,Single,3,Yearly,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,No,22.67,444.71,No,459,-38.573627,-79.615781
122903,Female,26,Single,2,Yearly,DSL,Yes,Yes,No,No,No,Yes,Yes,No,51.87,951.88,No,193,-54.624511,-0.497740
123693,Male,69,Single,0,Yearly,"Fiber Optic",Yes,Yes,Yes,Yes,No,Yes,No,Yes,63.92,515.73,No,910,55.822093,98.784455
125172,Male,31,Married,0,Monthly,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,99.66,518.01,No,536,-11.644236,120.569482
126349,Female,54,Married,1,Yearly,"Fiber Optic",No,Yes,No,Yes,Yes,Yes,No,No,34.69,105.88,No,151,-60.127830,-17.883148
132612,Female,43,Single,3,Yearly,"Fiber Optic",Yes,No,No,Yes,No,No,Yes,Yes,47.24,72.55,No,612,38.567637,-165.334743
133335,Female,34,Single,3,Yearly,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,58.32,703.11,No,864,-35.482421,-52.540024
133912,Female,27,Married,3,Yearly,DSL,No,No,No,Yes,Yes,No,No,Yes,26.14,209.64,No,829,29.220048,-93.904341
138229,Female,50,Single,0,Yearly,DSL,Yes,No,Yes,Yes,Yes,No,No,No,22.76,494.66,No,561,84.341666,-21.963382
139733,Female,49,Single,2,Monthly,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,49.23,75.73,No,338,36.641141,62.078208
140694,Female,42,Single,2,Monthly,"Fiber Optic",Yes,No,Yes,Yes,No,Yes,No,No,37.11,628.91,Yes,324,-43.884185,-10.499554
144797,Female,47,Single,0,Yearly,"Fiber Optic",No,Yes,Yes,Yes,No,Yes,Yes,Yes,65.60,917.10,No,403,59.069585,-132.317573
148952,Female,54,Single,1,Yearly,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,48.29,414.03,No,1038,-6.535371,79.723789
149700,Male,71,Single,2,Yearly,"Fiber Optic",No,Yes,No,No,Yes,Yes,Yes,Yes,18.88,584.74,No,38,-74.061844,-55.246266
153813,Female,46,Single,2,Yearly,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,63.32,626.40,No,339,39.330982,87.468239
155873,Female,33,Married,1,Yearly,"Fiber Optic",No,No,No,Yes,Yes,No,No,No,19.76,586.73,No,1132,35.428339,54.926558
159437,Female,44,Married,3,Monthly,DSL,No,Yes,Yes,No,No,Yes,No,Yes,28.54,588.06,Yes,787,-84.949574,-118.016814
159874,Female,61,Married,1,Monthly,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,87.32,770.22,No,1016,7.261924,-122.125129
163520,Female,49,Single,2,Monthly,"Fiber Optic",No,No,Yes,No,Yes,No,No,Yes,1.17,11.86,Yes,102,-26.154943,6.150273
163737,Male,66,Married,3,Monthly,"Fiber Optic",No,Yes,No,Yes,Yes,Yes,Yes,Yes,72.21,384.80,No,761,71.786946,32.695621
164446,Female,37,Single,2,Monthly,DSL,No,No,Yes,Yes,No,Yes,No,No,40.05,478.23,Yes,615,89.249584,-21.407703
167328,Male,48,Single,0,Yearly,"Fiber Optic",No,Yes,No,Yes,No,No,No,No,22.63,532.86,No,393,33.091171,-23.278209
171074,Male,24,Single,2,Monthly,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes,83.11,855.15,No,416,-20.166730,143.468053
172272,Female,59,Single,1,Yearly,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21.81,786.65,No,42,-28.990036,32.074576
172396,Female,18,Married,2,Yearly,"Fiber Optic",No,No,Yes,Yes,No,No,No,No,72.09,557.14,No,533,-26.669208,-26.481722
173949,Male,76,Married,3,Yearly,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,59.60,384.58,Yes,625,-53.867258,-21.493937
176125,Female,34,Married,2,Monthly,DSL,Yes,Yes,Yes,No,No,No,No,Yes,82.58,741.84,No,1119,84.680526,-160.973407
176478,Female,40,Married,2,Monthly,"Fiber Optic",Yes,Yes,Yes,No,Yes,No,No,Yes,51.25,945.93,Yes,147,-83.117838,116.051337
177762,Male,73,Married,3,Monthly,"Fiber Optic",Yes,No,No,No,Yes,No,No,Yes,47.97,357.86,No,812,-29.522475,53.288990
179625,Male,46,Married,2,Yearly,DSL,Yes,No,Yes,No,No,No,No,Yes,34.29,342.67,No,474,75.945581,-27.324373
182785,Male,54,Single,3,Monthly,DSL,No,Yes,No,Yes,Yes,Yes,No,Yes,56.91,262.26,No,279,-26.485940,-156.429450
183738,Female,53,Married,2,Yearly,"Fiber Optic",No,Yes,No,No,Yes,No,No,Yes,19.84,950.02,Yes,1109,-61.607860,-174.532848
184309,Female,40,Married,2,Monthly,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,77.68,654.46,No,895,72.970618,-76.223785
185292,Male,65,Single,1,Monthly,DSL,No,No,No,No,No,Yes,No,Yes,1.16,127.05,No,745,-35.410928,55.316873
188461,Male,72,Married,1,Monthly,DSL,No,Yes,No,No,No,Yes,No,No,79.83,434.06,No,690,8.776602,-173.250635
194425,Female,70,Single,3,Monthly,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,80.53,395.44,No,744,-14.947384,-99.259532
198000,Female,31,Single,1,Yearly,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,No,1.36,117.81,No,465,-36.913475,-68.122019
202251,Male,60,Single,3,Monthly,DSL,No,No,Yes,Yes,No,Yes,Yes,No,36.48,414.24,No,770,-39.824745,-11.504473
205243,Male,18,Single,1,Monthly,"Fiber Optic",No,No,No,Yes,Yes,Yes,No,No,21.29,508.71,No,1198,-40.094297,-39.207212
205505,Female,34,Married,2,Monthly,DSL,No,No,No,No,Yes,No,Yes,Yes,71.26,57.10,Yes,680,-19.483134,-87.127136
205760,Male,55,Single,3,Yearly,"Fiber Optic",No,No,No,No,Yes,No,No,Yes,62.13,932.70,No,239,18.133642,-34.566144
208772,Male,18,Married,0,Yearly,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,36.00,174.83,No,535,62.593329,144.246949
208839,Female,43,Married,0,Yearly,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,61.64,925.74,No,144,-42.265262,166.881545
212911,Male,68,Single,0,Monthly,DSL,No,No,Yes,No,No,No,No,No,82.13,937.98,No,379,72.705009,25.306854
213569,Female,62,Married,0,Monthly,DSL,No,No,No,No,No,Yes,No,Yes,34.26,193.35,No,137,46.084855,-22.873053
215177,Female,25,Married,1,Monthly,"Fiber Optic",Yes,No,No,Yes,No,Yes,No,Yes,34.69,326.24,No,1168,-72.668828,21.901454
216197,Female,74,Single,3,Monthly,"Fiber Optic",Yes,Yes,No,No,No,Yes,No,Yes,90.97,198.63,No,868,59.130642,169.281036
216977,Male,44,Single,1,Monthly,"Fiber Optic",Yes,Yes,No,No,No,No,Yes,Yes,90.77,807.51,No,179,54.783707,26.360034
217687,Female,61,Married,3,Monthly,"Fiber Optic",Yes,No,No,Yes,No,No,Yes,No,58.73,340.45,No,817,15.138677,135.780691
217924,Female,72,Married,1,Yearly,"Fiber Optic",Yes,Yes,No,Yes,Yes,No,Yes,Yes,68.58,216.47,Yes,570,-35.330769,-147.132944
219800,Male,20,Married,3,Yearly,"Fiber Optic",Yes,Yes,No,No,No,No,No,Yes,84.90,77.58,No,1166,-29.451178,95.918729
223846,Male,76,Married,1,Yearly,"Fiber Optic",No,Yes,No,No,No,No,No,Yes,0.58,169.08,No,759,32.330104,-0.034766
227016,Female,51,Married,2,Monthly,DSL,No,No,No,Yes,No,No,Yes,No,75.87,156.96,No,86,60.114977,163.462851
228174,Male,23,Single,2,Yearly,DSL,Yes,No,No,No,No,No,Yes,No,35.11,519.16,No,185,-63.742247,-84.422704
228325,Female,77,Married,2,Yearly,"Fiber Optic",Yes,Yes,Yes,Yes,No,No,No,Yes,17.65,695.71,No,789,-10.384550,-94.334025
232166,Male,41,Married,1,Monthly,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,No,No,45.64,340.86,No,784,-42.924093,-54.940479
238207,Female,23,Single,2,Monthly,DSL,No,No,Yes,No,Yes,Yes,No,Yes,87.57,894.49,No,651,-58.134912,-87.274579
240379,Female,27,Married,3,Yearly,"Fiber Optic",Yes,Yes,No,No,Yes,No,Yes,No,8.67,818.39,No,844,-85.812993,-178.147398
242863,Male,31,Single,0,Monthly,"Fiber Optic",Yes,Yes,Yes,No,Yes,Yes,No,Yes,42.31,869.82,Yes,946,36.990972,-122.105305
247026,Female,34,Single,0,Yearly,"Fiber Optic",Yes,Yes,No,Yes,No,No,No,Yes,58.60,600.01,No,491,-31.683624,-39.634264
247065,Male,25,Married,0,Monthly,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,92.16,893.14,No,990,-85.664437,51.927228
248690,Male,44,Single,0,Monthly,DSL,Yes,No,No,No,No,Yes,Yes,No,28.24,546.80,No,951,-35.139564,-127.792635
251511,Male,44,Single,0,Yearly,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,78.89,865.94,No,261,-54.052192,-55.765470
255615,Female,43,Single,2,Monthly,DSL,No,No,Yes,No,No,No,No,No,54.35,871.75,No,30,79.531777,48.074637
257656,Female,66,Married,3,Yearly,"Fiber Optic",No,Yes,No,Yes,No,Yes,Yes,No,73.20,710.08,No,769,-63.900541,108.043026
259183,Male,20,Married,1,Monthly,"Fiber Optic",No,No,Yes,Yes,No,Yes,Yes,No,70.95,684.70,No,504,-50.962696,116.445586
261970,Male,47,Married,0,Yearly,DSL,Yes,No,No,Yes,No,No,No,No,24.33,333.34,No,820,19.366936,175.438682
263042,Male,33,Married,2,Yearly,"Fiber Optic",No,No,No,No,No,Yes,No,Yes,98.61,632.84,No,156,-83.501044,103.800788
263450,Male,31,Married,3,Yearly,DSL,Yes,No,No,No,Yes,Yes,No,No,91.94,931.74,No,849,60.619713,-158.124516
265622,Female,64,Single,1,Yearly,DSL,Yes,No,No,No,No,Yes,Yes,Yes,5.28,527.53,No,976,23.622954,77.307598
265723,Female,20,Married,1,Yearly,"Fiber Optic",Yes,No,Yes,No,No,No,No,Yes,92.12,229.67,No,282,-85.939290,-33.675979
266375,Male,49,Married,2,Monthly,"Fiber Optic",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,73.29,136.32,No,5,13.663477,131.410902
268401,Male,53,Single,3,Yearly,DSL,Yes,No,Yes,Yes,No,No,No,No,0.57,162.93,No,598,-71.552686,-174.486087
268801,Male,73,Married,1,Yearly,"Fiber Optic",Yes,Yes,No,Yes,Yes,No,Yes,No,6.56,450.54,Yes,1113,-4.840550,29.137852
271576,Female,69,Married,3,Yearly,DSL,No,No,Yes,No,No,Yes,No,Yes,6.89,982.63,No,701,54.425479,-86.831618
272689,Male,75,Married,3,Monthly,DSL,No,No,No,No,Yes,No,Yes,No,32.11,876.05,No,547,-84.693963,100.587668
274368,Female,23,Married,1,Yearly,"Fiber Optic",Yes,No,Yes,Yes,No,No,Yes,No,55.21,393.79,No,458,85.327657,80.209194
275481,Female,70,Single,0,Yearly,DSL,No,No,Yes,No,No,Yes,No,No,93.78,857.29,No,951,8.271502,-53.694049
280063,Male,35,Married,0,Yearly,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,59.44,33.72,No,990,85.016761,-41.569838
288065,Female,74,Single,0,Yearly,"Fiber Optic",No,No,No,Yes,No,Yes,Yes,No,37.66,657.68,Yes,984,22.798792,61.777868
289258,Male,64,Single,0,Monthly,"Fiber Optic",Yes,Yes,Yes,No,Yes,No,Yes,No,91.29,336.59,No,854,40.947246,0.377515
289265,Female,38,Married,3,Monthly,DSL,No,No,Yes,No,No,Yes,No,Yes,2.87,502.97,No,761,69.373926,8.736507
294415,Male,38,Married,3,Yearly,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,43.60,151.93,No,963,28.891623,141.483053
295133,Female,45,Married,0,Monthly,"Fiber Optic",Yes,Yes,No,No,Yes,No,No,Yes,20.74,972.54,No,341,36.224723,54.980619
298285,Female,25,Married,3,Monthly,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,24.37,879.04,No,819,-13.707650,-154.942670
300627,Male,29,Single,3,Monthly,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,49.63,582.03,No,432,6.570378,36.865985
304656,Female,64,Married,0,Yearly,"Fiber Optic",Yes,No,Yes,No,No,No,Yes,Yes,37.22,449.55,Yes,367,-64.817612,100.681886
310143,Female,68,Single,0,Monthly,"Fiber Optic",No,No,No,No,Yes,No,No,No,17.51,941.81,Yes,112,74.801873,-72.821942
310818,Male,29,Single,3,Yearly,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,19.58,911.31,No,133,26.964961,149.334720
311095,Male,29,Single,2,Monthly,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,23.22,620.91,No,212,28.948614,98.410876
312932,Female,56,Married,1,Yearly,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,42.21,842.88,No,253,-51.822145,-26.316286
313936,Male,64,Single,3,Monthly,DSL,No,No,No,No,Yes,No,No,No,28.78,430.39,No,181,70.109821,178.067051
314773,Male,46,Single,0,Monthly,DSL,No,Yes,No,No,No,Yes,Yes,No,79.19,137.72,No,181,57.014747,47.007439
315952,Female,50,Married,2,Monthly,"Fiber Optic",Yes,No,No,No,No,Yes,Yes,No,59.87,543.85,No,1180,-62.988777,107.539473
322789,Male,53,Single,0,Monthly,"Fiber Optic",No,No,No,No,Yes,No,Yes,No,38.91,642.52,Yes,358,-25.571886,141.637001
328724,Female,63,Single,1,Monthly,DSL,No,Yes,Yes,No,No,Yes,No,No,19.57,221.87,No,1135,-60.744979,170.993195
329629,Female,57,Single,1,Monthly,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,No,10.79,228.21,No,483,11.060235,35.602644
330682,Male,53,Married,1,Yearly,"Fiber Optic",Yes,No,No,No,No,No,No,Yes,5.88,781.31,No,368,-27.617679,111.741025
332555,Female,32,Married,2,Yearly,"Fiber Optic",No,Yes,Yes,Yes,No,Yes,No,No,7.86,500.36,No,995,-27.337287,-88.979120
332757,Male,48,Married,2,Yearly,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,34.86,313.43,No,799,47.915927,119.886363
333325,Male,72,Married,1,Monthly,DSL,Yes,No,No,No,Yes,Yes,No,Yes,75.53,689.10,Yes,997,21.016596,32.503736
333356,Female,49,Single,3,Yearly,"Fiber Optic",Yes,No,Yes,No,No,No,Yes,No,32.63,78.85,No,1008,82.352432,-84.520602
336104,Female,69,Married,1,Yearly,"Fiber Optic",Yes,No,No,Yes,Yes,No,Yes,No,62.91,422.94,No,1041,28.644792,68.706941
339164,Female,72,Married,0,Yearly,"Fiber Optic",Yes,Yes,No,Yes,Yes,Yes,No,No,84.62,414.84,No,520,11.090158,2.495288
342173,Female,19,Single,1,Yearly,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,99.60,301.47,No,830,72.449714,-22.947698
342220,Female,68,Single,3,Monthly,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,36.70,198.21,No,1026,19.076603,-12.818293
346340,Female,39,Single,2,Yearly,"Fiber Optic",Yes,No,No,Yes,No,Yes,No,No,24.91,401.19,No,107,30.688710,-149.488602
352916,Female,76,Married,1,Monthly,"Fiber Optic",Yes,Yes,Yes,Yes,No,No,No,Yes,64.99,999.57,Yes,290,-77.896024,39.269944
353401,Female,29,Married,1,Yearly,DSL,No,No,Yes,Yes,No,Yes,Yes,No,35.18,168.15,No,507,46.439386,7.685817
353930,Female,66,Single,1,Monthly,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,76.05,696.58,No,1100,86.860993,-122.146085
